Week,Business Unit,Channel,Spend
2022-04-17,iTrade,TV,2177.0
2022-04-24,iTrade,TV,2177.0
2022-05-01,iTrade,TV,2177.0
2022-05-08,iTrade,TV,2177.0
2022-05-15,iTrade,TV,2177.0
2022-05-22,iTrade,TV,2180.0
2022-05-29,iTrade,TV,2180.0
2022-06-05,iTrade,TV,2180.0
2022-06-12,iTrade,TV,2180.0
2022-06-19,iTrade,TV,2180.0
2022-06-26,iTrade,TV,2180.0
2022-07-03,iTrade,TV,2180.0
2022-07-10,iTrade,TV,2180.0
2022-07-17,iTrade,TV,2180.0
2022-07-24,iTrade,TV,2180.0
2022-07-31,iTrade,TV,2180.0
2022-08-07,iTrade,TV,2180.0
2022-08-14,iTrade,TV,2180.0
2022-08-21,iTrade,TV,2180.0
